id_company,date,id_vehicle,prev_date,next_date,duration,activity_start_date,id_onboard_computer,id_devixe,id_activity_group,id_activity,id_cost_center,id_role,id_vehicle_operator,id_structure_cr,id_workfront,id_eletronic_fence,id_implement,id_implement_type,id_workflow,post_process_type,id_package_rule,id_package_rule_structure,id_service_order,service_order_code,id_season,gps_position,altitude,direction,gps_satellites_quantity,gps_sync,signal_rtk,signal_strength_3g,signal_strength_wifi,snapshot_id,speed,productive_hectar,area_sensor,engine_on_sensor,torque_sensor,speed_avg_sensor
50115,2024-07-02 02:59:52.606 -0300,58318,2024-07-02 02:59:35.120 -0300,2024-07-02 03:00:08.694 -0300,00:00:16.088,2024-07-02 02:54:55.046 -0300,25559,null,50403,52393,984,50742,153903,2244954,582,0,40151,152,709,null,null,null,0,0,362,(-44.97736733333333.-19.413457),705,1.479.127.349.854,12,true,null,62,0,912054,11,0.0000000000,0.0000000000,0.0000000000,null,0.844306219
50115,2024-07-02 02:59:52.591 -0300,58297,2024-07-02 02:58:52.080 -0300,2024-07-02 02:59:57.601 -0300,00:00:05.01,2024-07-02 02:58:52.080 -0300,25484,null,50405,53401,984,51968,133719,2244956,582,0,0,0,1475,null,null,null,0,0,362,(-44.983548.-19.4217705),658,3.200.075.378.418,12,true,null,100,49,782476,0.162263632,0.0000000000,null,null,null,
50115,2024-07-02 02:59:52.084 -0300,58369,2024-07-02 02:59:42.076 -0300,2024-07-02 03:00:01.996 -0300,00:00:09.912,2024-07-02 02:51:26.660 -0300,25267,null,50403,52991,984,50741,115721,1859658,580,0,81100,435,710,null,null,null,0,0,362,(-44.920328.-19.330722),690,3.575.778.503.418,12,true,null,52,70,920379,15,0.0000000000,null,null,null,
50115,2024-07-02 02:59:51.579 -0300,58325,2024-07-02 02:58:51.571 -0300,2024-07-02 03:00:52.032 -0300,00:01:00.453,2024-07-01 12:00:41.237 -0300,25724,null,0,0,1148,51912,0,0,1145,0,0,0,0,null,null,null,0,0,362,(-44.98603216666667.-19.253892),685,2.700.000.000.000,12,true,null,94,0,263025,0.079147168,0.0000000000,null,null,null,
50115,2024-07-02 02:59:50.559 -0300,58237,2024-07-02 02:58:50.552 -0300,2024-07-02 03:00:00.097 -0300,00:00:09.538,2024-07-02 02:43:46.109 -0300,24844,null,50403,59192,1148,51830,153907,1859314,1203,0,0,0,0,null,null,null,0,0,362,(-45.017700166666664.-19.242936333333333),687,0.0000000000,9,true,null,49,0,721735,0,0.0000000000,null,null,null,
50115,2024-07-02 02:59:50.539 -0300,59889,2024-07-02 02:58:50.040 -0300,2024-07-02 03:00:51.056 -0300,00:01:00.517,2024-07-02 02:58:50.040 -0300,24845,null,50403,56335,1148,51912,153860,2244912,1145,0,0,0,2208,null,null,null,0,0,362,(-45.0268905.-19.243227833333332),672,539.402.999.878,10,true,null,57,0,700829,38,295.020.773.448,0.2926125000,0.0000000000,null,
50115,2024-07-02 02:59:49.565 -0300,58378,2024-07-02 02:58:49.565 -0300,2024-07-02 03:00:49.608 -0300,00:01:00.043,2024-07-02 02:54:48.062 -0300,25725,null,50403,53394,984,50786,115660,0,787,41695,0,0,749,null,null,null,0,0,362,(-44.9839895.-19.253144833333334),698,900.052.795.410,12,true,null,96,0,468337,0.014787803,0.0000000000,null,null,null,
50115,2024-07-02 02:59:49.541 -0300,58238,2024-07-02 02:58:49.519 -0300,2024-07-02 03:00:49.536 -0300,00:00:59.995,2024-07-02 02:56:49.096 -0300,25720,null,50403,59190,1148,51830,153859,1860206,1203,0,0,0,1404,null,null,null,0,0,362,(-45.03426266666666.-19.260736166666668),698,1.650.974.884.033,12,true,null,62,0,960710,17,13.154.875.000,null,null,null,
50115,2024-07-02 02:59:48.990 -0300,62450,2024-07-02 02:59:39.585 -0300,2024-07-02 03:00:05.065 -0300,00:00:16.075,2024-07-02 02:59:48.990 -0300,25141,null,50403,52393,984,50742,115773,1860162,581,0,40151,152,709,null,null,null,0,0,362,(-44.9837875.-19.246937333333335),699,1.761.785.278.320,9,true,null,47,0,72281,0.963618279,0.0000000000,null,null,null,
50115,2024-07-02 02:59:48.585 -0300,58351,2024-07-02 02:59:11.589 -0300,2024-07-02 03:00:48.655 -0300,00:01:00.07,2024-07-02 00:02:06.502 -0300,25259,null,50403,59074,1225,53490,115752,2244904,1180,0,0,0,0,null,null,null,0,0,362,(-44.98643366666667.-19.406046333333332),722,1.064.005.126.953,12,true,null,100,0,941962,26,65.598.105.479,0.0048773438,0.0000000000,null,
